idhh,id,name_latin,id_cg,pop_t_2014,log_t_2014,log_hosp_1k_2014,log_hosp_2k_2014,log_hosp_2k+_2014,delegation,firms
TN17C,TN17C,Menzel Djmil,TS117B,47224,17900,5.593170265,5.060246892,89.34658284,1762,3450
TN17D,TN17D,El Alia,TS117C,27075,8083,34.85340697,40.64965508,24.49693796,1763,1839
TN17E,TN17E,Ras Djbel,TS117D,58241,21546,15.05038268,34.38846848,50.56114884,1764,3720
TN211,TN181,Béja Nord,TS1210,71198,20584,24.72384425,42.01998478,33.25617098,2151,5742
TN212,TN182,Béja Sud,TS1211,38101,10894,12.72206492,28.12423592,59.15369916,2152,2414
TN213,TN183,Amdoun,TS1212,21187,5562,6.294539495,24.31239776,69.39306275,2153,890
TN214,TN184,Nefza,TS1213,48101,13513,7.059361332,16.96917206,75.97146661,2154,2043
TN215,TN185,Teboursouk,TS1214,22115,6359,15.75472982,41.02274437,43.22252581,2155,1328
TN216,TN186,Tibar,TS1215,11206,3343,11.23006684,22.34074483,66.42918833,2156,456
TN217,TN187,Testour,TS1216,33613,9384,9.29015776,35.53532443,55.17451781,2157,1792
TN218,TN188,Goubellat,TS1217,15762,4073,21.4827597,9.072308304,69.44493199,2158,526
TN219,TN189,Mdjez Elbeb,TS1218,41749,11523,16.1182838,38.48831109,45.39340511,2159,3121
TN221,TN191,Jendouba,TS122,72337,20882,5.010772244,29.44053294,65.54869482,2251,5596
TN222,TN192,Jendouba Nord,TS1221,40779,11963,9.529099083,27.55468053,62.91622039,2252,1641
TN223,TN193,Bou Salem,TS1222,35501,9873,12.5619394,31.08907536,56.34898523,2253,2831
TN224,TN194,Tabarka,TS1223,48993,18158,3.814980194,19.14903848,77.03598132,2254,2820
TN225,TN195,Ain Drahem,TS1224,35400,11904,15.95170099,17.55115909,66.49713992,2255,1431
TN226,TN196,Fernana,TS1225,47690,13844,6.877895997,7.805594926,85.31650908,2256,1667
TN227,TN197,Ghardimaou,TS1226,64170,19418,12.46465011,23.36873607,64.16661382,2257,2975
TN228,TN198,Oued Mliz,TS1227,17843,5395,1.225593439,9.743233476,89.03117309,2258,697
TN229,TN199,Balta Bou Aouane,TS1228,38764,11139,9.339945912,10.44676062,80.21329347,2259,522
TN231,TN1A1,Kef Ouest,TS1230,33418,10568,7.755728073,62.80027327,29.44399865,2351,1326
TN232,TN1A2,Kef Est,TS1231,40288,12511,16.83492946,54.55401544,28.6110551,2352,3778
TN233,TN1A3,Nebeur,TS1232,25897,7209,9.243697681,11.55738438,79.19891793,2353,1070
TN234,TN1A4,Sakiet Sidi Youssef,TS1233,17500,5918,12.79890373,26.52079766,60.68029861,2354,617
TN235,TN1A5,Tajerouine,TS1234,27592,8642,5.984109143,44.77218091,49.24370995,2355,1399
TN236,TN1A6,Kalaât Snan,TS1235,15621,4946,38.02985801,16.70233762,45.26780437,2356,505
TN237,TN1A7,Kalaât Khesba,TS1236,6652,2090,30.05082387,21.44028712,48.50888901,2357,219
TN238,TN1A8,Djerissa,TS1237,9807,3389,3.362386449,7.474220391,89.16339316,2358,387
TN239,TN1A9,Elksour,TS1238,15215,3908,13.20116589,29.58051411,57.21832,2359,660
TN23A,TN1AA,Dahmani,TS1239,27907,7658,28.42623122,27.04683102,44.52693776,2360,1291
TN23B,TN1AB,Es Seres,TS123A,23259,6793,11.98578115,42.40093116,45.6132877,2361,1048
TN241,TN1B1,Siliana Nord,TS1240,28907,8214,8.971620874,64.7728612,26.25551793,2451,3365
TN242,TN1B2,Siliana Sud,TS1241,30233,8354,10.26756384,31.8007833,57.93165286,2452,134
TN243,TN1B3,Bou Arada,TS1242,20444,5339,27.83817709,40.74358141,31.4182415,2453,870
TN244,TN1B4,Gaâfour,TS1243,16934,5001,25.5230713,38.32005825,36.15687045,2454,775
TN245,TN1B5,El Krib,TS1244,20155,5659,18.39792392,29.40024957,52.2018265,2455,1043
TN246,TN1B6,Bourouis,TS1245,12618,3564,21.46269971,25.26860819,53.2686921,2456,487
